date,Keywords,RelativePopularity,Type,Origin,Loc
2013-10-01,Burger,43.0,Mains,American,Worldwide
2013-11-01,Burger,42.0,Mains,American,Worldwide
2013-12-01,Burger,40.0,Mains,American,Worldwide
2014-01-01,Burger,45.0,Mains,American,Worldwide
2014-02-01,Burger,45.0,Mains,American,Worldwide
2014-03-01,Burger,48.0,Mains,American,Worldwide
2014-04-01,Burger,48.0,Mains,American,Worldwide
2014-05-01,Burger,50.0,Mains,American,Worldwide
2014-06-01,Burger,47.0,Mains,American,Worldwide
2014-07-01,Burger,51.0,Mains,American,Worldwide
2014-08-01,Burger,53.0,Mains,American,Worldwide
2014-09-01,Burger,47.0,Mains,American,Worldwide
2014-10-01,Burger,48.0,Mains,American,Worldwide
2014-11-01,Burger,48.0,Mains,American,Worldwide
2014-12-01,Burger,45.0,Mains,American,Worldwide
2015-01-01,Burger,51.0,Mains,American,Worldwide
2015-02-01,Burger,52.0,Mains,American,Worldwide
2015-03-01,Burger,53.0,Mains,American,Worldwide
2015-04-01,Burger,54.0,Mains,American,Worldwide
2015-05-01,Burger,57.0,Mains,American,Worldwide
2015-06-01,Burger,57.0,Mains,American,Worldwide
2015-07-01,Burger,59.0,Mains,American,Worldwide
2015-08-01,Burger,58.0,Mains,American,Worldwide
2015-09-01,Burger,56.0,Mains,American,Worldwide
2015-10-01,Burger,58.0,Mains,American,Worldwide
2015-11-01,Burger,51.0,Mains,American,Worldwide
2015-12-01,Burger,53.0,Mains,American,Worldwide
2016-01-01,Burger,58.0,Mains,American,Worldwide
2016-02-01,Burger,58.0,Mains,American,Worldwide
2016-03-01,Burger,61.0,Mains,American,Worldwide
2016-04-01,Burger,62.0,Mains,American,Worldwide
2016-05-01,Burger,61.0,Mains,American,Worldwide
2016-06-01,Burger,64.0,Mains,American,Worldwide
2016-07-01,Burger,69.0,Mains,American,Worldwide
2016-08-01,Burger,63.0,Mains,American,Worldwide
2016-09-01,Burger,60.0,Mains,American,Worldwide
2016-10-01,Burger,61.0,Mains,American,Worldwide
2016-11-01,Burger,59.0,Mains,American,Worldwide
2016-12-01,Burger,59.0,Mains,American,Worldwide
2017-01-01,Burger,64.0,Mains,American,Worldwide
2017-02-01,Burger,65.0,Mains,American,Worldwide
2017-03-01,Burger,66.0,Mains,American,Worldwide
2017-04-01,Burger,69.0,Mains,American,Worldwide
2017-05-01,Burger,70.0,Mains,American,Worldwide
2017-06-01,Burger,78.0,Mains,American,Worldwide
2017-07-01,Burger,79.0,Mains,American,Worldwide
2017-08-01,Burger,74.0,Mains,American,Worldwide
2017-09-01,Burger,70.0,Mains,American,Worldwide
