geoName,Keywords,RelativePopularity,Type,Origin,geoSum,PercentageBreakdown
Afghanistan,Bibimbab,0.0,Mains,Korean,430.1354928539337,0.0
Afghanistan,Bulgogi,0.0,Mains,Korean,430.1354928539337,0.0
Afghanistan,Galbi,0.0,Mains,Korean,430.1354928539337,0.0
Afghanistan,Gimbap,0.0,Mains,Korean,430.1354928539337,0.0
Afghanistan,Samgyetang,0.0,Mains,Korean,430.1354928539337,0.0
Afghanistan,Bingsu,0.0,Desserts/Drinks,Korean,430.1354928539337,0.0
Afghanistan,Soju,0.0,Desserts/Drinks,Korean,430.1354928539337,0.0
Afghanistan,Guacamole,0.0,Sides/Snacks,Mexican,430.1354928539337,0.0
Afghanistan,Nacos,0.0,Sides/Snacks,Mexican,430.1354928539337,0.0
Afghanistan,Chilli con carne,0.0,Mains,Mexican,430.1354928539337,0.0
Afghanistan,Enchiladas,0.0,Mains,Mexican,430.1354928539337,0.0
Afghanistan,Quesadillas,0.0,Mains,Mexican,430.1354928539337,0.0
Afghanistan,Tacos,0.0,Mains,Mexican,430.1354928539337,0.0
Afghanistan,Churros,0.0,Desserts/Drinks,Mexican,430.1354928539337,0.0
Afghanistan,Croquetas,0.0,Sides/Snacks,Spanish,430.1354928539337,0.0
Afghanistan,Patatas Bravas,0.0,Sides/Snacks,Spanish,430.1354928539337,0.0
Afghanistan,Jamon,0.0,Mains,Spanish,430.1354928539337,0.0
Afghanistan,Paella,0.0,Mains,Spanish,430.1354928539337,0.0
Afghanistan,Leche Frita,0.0,Desserts/Drinks,Spanish,430.1354928539337,0.0
Afghanistan,Pad Thai,0.0,Soup/Noodles,Thai,430.1354928539337,0.0
Afghanistan,Tom Yum,0.0,Soup/Noodles,Thai,430.1354928539337,0.0
Afghanistan,Khao Pad,0.0,Mains,Thai,430.1354928539337,0.0
Afghanistan,Thai Curry,0.0,Mains,Thai,430.1354928539337,0.0
Afghanistan,Mango Sticky Rice,0.0,Desserts/Drinks,Thai,430.1354928539337,0.0
Albania,Burger,56.0,Mains,American,2175.964816711765,0.025735710232955452
Albania,Grilled Cheese,0.0,Mains,American,2175.964816711765,0.0
Albania,Hot dog,10.0,Mains,American,2175.964816711765,0.004595662541599188
Albania,Mac and Cheese,6.0,Mains,American,2175.964816711765,0.002757397524959513
Albania,Cheesecake,105.33333333333333,Desserts/Drinks,American,2175.964816711765,0.04840764543817811
Albania,Chow Mein,0.0,Soup/Noodles,Chinese,2175.964816711765,0.0
Albania,Dimsum,0.0,Sides/Snacks,Chinese,2175.964816711765,0.0
Albania,Vermicelli roll,0.0,Sides/Snacks,Chinese,2175.964816711765,0.0
Albania,Wonton,0.0,Sides/Snacks,Chinese,2175.964816711765,0.0
